cod_pobla,iso3_pobla,año_pobla,poblacion
4,AFG,1990,12045000
4,AFG,1995,17065000
4,AFG,2000,20130000
4,AFG,2005,24404000
4,AFG,2010,28284000
4,AFG,2015,33831000
4,AFG,2020,39068000
4,AFG,2024,42647000
24,AGO,1990,11626000
24,AGO,1995,13699000
24,AGO,2000,16194000
24,AGO,2005,19291000
24,AGO,2010,23294000
24,AGO,2015,28157000
24,AGO,2020,33451000
24,AGO,2024,37885000
8,ALB,1990,3277000
8,ALB,1995,3258000
8,ALB,2000,3166000
8,ALB,2005,3076000
8,ALB,2010,2928000
8,ALB,2015,2898000
8,ALB,2020,2871000
8,ALB,2024,2791000
20,AND,1990,52000
20,AND,1995,63000
20,AND,2000,65000
20,AND,2005,77000
20,AND,2010,80000
20,AND,2015,72000
20,AND,2020,77000
20,AND,2024,81000
784,ARE,1990,1898000
784,ARE,1995,2434000
784,ARE,2000,3493000
784,ARE,2005,4664000
784,ARE,2010,6938000
784,ARE,2015,8674000
784,ARE,2020,9448000
784,ARE,2024,11027000
32,ARG,1990,32755000
32,ARG,1995,35070000
32,ARG,2000,37213000
32,ARG,2005,39216000
32,ARG,2010,41288000
32,ARG,2015,43477000
32,ARG,2020,45191000
32,ARG,2024,45696000
51,ARM,1990,3552000
51,ARM,1995,3307000
51,ARM,2000,3125000
51,ARM,2005,3006000
51,ARM,2010,2931000
51,ARM,2015,2921000
51,ARM,2020,2890000
51,ARM,2024,2973000
28,ATG,1990,63000
28,ATG,1995,68000
28,ATG,2000,74000
28,ATG,2005,79000
28,ATG,2010,85000
28,ATG,2015,89000
28,ATG,2020,91000
28,ATG,2024,93000
36,AUS,1990,17126000
36,AUS,1995,18095000
36,AUS,2000,19132000
36,AUS,2005,20294000
36,AUS,2010,22141000
36,AUS,2015,23948000
36,AUS,2020,25743000
36,AUS,2024,26713000
40,AUT,1990,7679000
40,AUT,1995,7950000
40,AUT,2000,8012000
40,AUT,2005,8229000
40,AUT,2010,8365000
40,AUT,2015,8644000
40,AUT,2020,8921000
40,AUT,2024,9120000
31,AZE,1990,7231000
31,AZE,1995,7719000
31,AZE,2000,8174000
31,AZE,2005,8597000
31,AZE,2010,9146000
31,AZE,2015,9752000
31,AZE,2020,10181000
31,AZE,2024,10336000
108,BDI,1990,5587000
108,BDI,1995,6066000
108,BDI,2000,6470000
108,BDI,2005,7587000
108,BDI,2010,9376000
108,BDI,2015,11047000
108,BDI,2020,12617000
108,BDI,2024,14047000
56,BEL,1990,9960000
56,BEL,1995,10137000
56,BEL,2000,10251000
56,BEL,2005,10478000
56,BEL,2010,10936000
56,BEL,2015,11275000
56,BEL,2020,11540000
56,BEL,2024,11738000
204,BEN,1990,5281000
204,BEN,1995,6226000
204,BEN,2000,7221000
204,BEN,2005,8426000
204,BEN,2010,9797000
204,BEN,2015,11360000
204,BEN,2020,13070000
204,BEN,2024,14462000
854,BFA,1990,9159000
854,BFA,1995,10386000
854,BFA,2000,11925000
854,BFA,2005,13932000
854,BFA,2010,16176000
854,BFA,2015,18777000
854,BFA,2020,21478000
854,BFA,2024,23548000
50,BGD,1990,111633000
50,BGD,1995,122600000
50,BGD,2000,134544000
50,BGD,2005,144715000
50,BGD,2010,152201000
50,BGD,2015,159383000
50,BGD,2020,166298000
50,BGD,2024,173562000
100,BGR,1990,8822000
100,BGR,1995,8357000
100,BGR,2000,8000000
100,BGR,2005,7695000
100,BGR,2010,7437000
100,BGR,2015,7177000
100,BGR,2020,6933000
100,BGR,2024,6757000
48,BHR,1990,514000
48,BHR,1995,593000
48,BHR,2000,669000
48,BHR,2005,932000
48,BHR,2010,1213000
48,BHR,2015,1369000
48,BHR,2020,1483000
48,BHR,2024,1607000
44,BHS,1990,275000
44,BHS,1995,301000
44,BHS,2000,323000
44,BHS,2005,343000
44,BHS,2010,367000
44,BHS,2015,385000
44,BHS,2020,395000
44,BHS,2024,401000
70,BIH,1990,4448000
70,BIH,1995,3715000
70,BIH,2000,4159000
70,BIH,2005,4096000
70,BIH,2010,3811000
70,BIH,2015,3518000
70,BIH,2020,3299000
70,BIH,2024,3164000
112,BLR,1990,10186000
112,BLR,1995,10197000
112,BLR,2000,9991000
112,BLR,2005,9667000
112,BLR,2010,9490000
112,BLR,2015,9487000
112,BLR,2020,9350000
112,BLR,2024,9056000
84,BLZ,1990,183000
84,BLZ,1995,204000
84,BLZ,2000,240000
84,BLZ,2005,279000
84,BLZ,2010,320000
84,BLZ,2015,356000
84,BLZ,2020,390000
84,BLZ,2024,417000
68,BOL,1990,7130000
68,BOL,1995,7874000
68,BOL,2000,8606000
68,BOL,2005,9360000
68,BOL,2010,10182000
68,BOL,2015,11014000
68,BOL,2020,11816000
68,BOL,2024,12413000
76,BRA,1990,149143000
76,BRA,1995,161735000
76,BRA,2000,174018000
76,BRA,2005,184688000
76,BRA,2010,193701000
76,BRA,2015,201675000
76,BRA,2020,208660000
76,BRA,2024,211998000
52,BRB,1990,258000
52,BRB,1995,262000
52,BRB,2000,262000
52,BRB,2005,268000
52,BRB,2010,275000
52,BRB,2015,278000
52,BRB,2020,281000
52,BRB,2024,282000
96,BRN,1990,255000
96,BRN,1995,291000
96,BRN,2000,326000
96,BRN,2005,358000
96,BRN,2010,392000
96,BRN,2015,422000
96,BRN,2020,447000
96,BRN,2024,462000
64,BTN,1990,589000
64,BTN,1995,547000
64,BTN,2000,596000
64,BTN,2005,661000
64,BTN,2010,701000
64,BTN,2015,740000
64,BTN,2020,770000
64,BTN,2024,791000
72,BWA,1990,1305000
72,BWA,1995,1498000
72,BWA,2000,1677000
72,BWA,2005,1839000
72,BWA,2010,2033000
72,BWA,2015,2203000
72,BWA,2020,2365000
72,BWA,2024,2521000
140,CAF,1990,2871000
140,CAF,1995,3348000
140,CAF,2000,3833000
140,CAF,2005,4288000
140,CAF,2010,4492000
140,CAF,2015,4629000
140,CAF,2020,5026000
140,CAF,2024,5330000
124,CAN,1990,27789000
124,CAN,1995,29459000
124,CAN,2000,30891000
124,CAN,2005,32440000
124,CAN,2010,34196000
124,CAN,2015,35962000
124,CAN,2020,38171000
124,CAN,2024,39742000
756,CHE,1990,6713000
756,CHE,1995,7040000
756,CHE,2000,7184000
756,CHE,2005,7431000
756,CHE,2010,7825000
756,CHE,2015,8283000
756,CHE,2020,8640000
