codigo_pais,codigo_colonia_de,ingles,frances,portugues,espanol,italiano,aleman
GBR,,1,0,0,0,0,0
FRA,,0,1,0,0,0,0
PRT,,0,0,1,0,0,0
ESP,,0,0,0,1,0,0
ITA,,0,0,0,0,1,0
DEU,,0,0,0,0,0,1
BEL,,0,1,0,0,0,0

DZA,FRA,0,1,0,0,0,0
MAR,FRA,0,1,0,1,0,0
TUN,FRA,0,1,0,0,0,0
SEN,FRA,0,1,0,0,0,0
MLI,FRA,0,1,0,0,0,0
NER,FRA,0,1,0,0,0,0
BFA,FRA,0,1,0,0,0,0
CIV,FRA,0,1,0,0,0,0
BEN,FRA,0,1,0,0,0,0
TGO,FRA,0,1,0,0,0,0
GIN,FRA,0,1,0,0,0,0
GAB,FRA,0,1,0,0,0,0
COG,FRA,0,1,0,0,0,0
CAF,FRA,0,1,0,0,0,0
TCD,FRA,0,1,0,0,0,0
MDG,FRA,0,1,0,0,0,0
COM,FRA,0,1,0,0,0,0
DJI,FRA,0,1,0,0,0,0

AGO,PRT,0,0,1,0,0,0
MOZ,PRT,0,0,1,0,0,0
GNB,PRT,0,0,1,0,0,0
CPV,PRT,0,0,1,0,0,0
STP,PRT,0,0,1,0,0,0

GNQ,ESP,0,0,0,1,0,0

LBY,ITA,0,0,0,0,1,0
ERI,ITA,0,0,0,0,1,0
SOM,ITA,0,0,0,0,1,0

NAM,DEU,1,0,0,0,0,1
TZA,DEU,1,0,0,0,0,1
CMR,DEU,1,1,0,0,0,1
TGO,DEU,0,1,0,0,0,1

NGA,GBR,1,0,0,0,0,0
GHA,GBR,1,0,0,0,0,0
GMB,GBR,1,0,0,0,0,0
SLE,GBR,1,0,0,0,0,0
LBR,GBR,1,0,0,0,0,0
KEN,GBR,1,0,0,0,0,0
UGA,GBR,1,0,0,0,0,0
ZMB,GBR,1,0,0,0,0,0
ZWE,GBR,1,0,0,0,0,0
BWA,GBR,1,0,0,0,0,0
LSO,GBR,1,0,0,0,0,0
SWZ,GBR,1,0,0,0,0,0
MWI,GBR,1,0,0,0,0,0
ZAF,GBR,1,0,0,0,0,0
SSD,GBR,1,0,0,0,0,0
SDN,GBR,1,0,0,0,0,0
